abrupto	adj	1.1306	abrupt
absceso	nm	0.4636	abscess
abscisa	nf	0.2652	abscissa
abscisión	nf	0.1496	excision
absenta	nf	0.4881	absinthe
absentismo	nm	0.0998	absenteeism
ábside	nm	0.3557	apse | apsis
absinto	nm	0.1472	absinthe
absolución	nf	0.7347	absolution
absolutamente	adv	0.7291	absolutely
absolutismo	nm	0.2361	absolutism
absolutista	adj	0.0258	absolutistic
absolutivo	nm	0.0815	absolutive
absoluto	adj	0.8325	absolute
absolutorio	adj	0.2298	absolutory
absolver	v	0.9337	absolve | acquit
absorbencia	nf	0.2848	absorption
absorbente	adj	0.1928	absorbent
absorber	v	1.0644	absorb
absorbible	adj	0.0531	absorbable
absorbimiento	nf	0.3289	absorption
absorción	nf	0.8701	absorption
absortar	v	0.2739	engross
absorto	adj	0.4886	absorbed | amazed | captivated
abstemio	adj	0.0000	teetotaller | abstemious
abstencionismo	nm	0.0258	abstentionism
abstener	v	0.2454	abstain
abstenerse	v	0.2833	abstain
absterger	v	0.0315	absterge
abstinencia	nf	0.3532	abstinence | teetotalism
abstinente	adj	0.1623	abstinent
abstracción	nf	0.3677	abstraction | absorption
abstraccionismo	nm	0.0773	abstract art
abstractivo	adj	0.0515	abstractive
abstracto	adj	1.0612	abstract
abstraer	v	0.7504	abstract
abstruso	adj	0.4741	abstruse
absurdidad	nf	0.2882	absurdity
absurdo	adj	0.8496	absurd
absurdo	nm	0.8496	absurd
abubilla	nf	0.8396	hoopoe
abubute	nm	0.7685	hoopoe
abuchear	v	0.6696	jeer | hoot
abuela política	loc	0.0561	grandmother-in-law
abuelastro	nmf	0.0446	stepgrandfather
abuelo	nmf	0.2465	pops | grandfather
Abuja	prop	0.1995	Abuja
abulia	nf	0.8856	apathy | aboulia
abúlico	adj	0.2443	apathetic
abulón	nm	0.1304	abalone
abundancia	nf	1.2039	abundance
abundante	adj	0.8606	plentiful | abundant
abundantemente	adv	0.5310	abundantly | plentifully
abundar	v	0.5174	abound
Abundio	prop	0.0386	Abundius
abur	interj	0.4580	goodbye
aburrido	adj	1.0704	boring
aburridor	adj	0.4307	boring
aburrimiento	nm	1.0516	boredom
aburrir	v	1.1793	bore
